Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
5,Warmup,2,0.567,0.5542,0.7135,0.7614,0.6611,0.7353,0.7695
5,Warmup,3,0.549,0.5497,0.7082,0.7614,0.65,0.7317,0.772
5,Warmup,4,0.5433,0.5496,0.7056,0.7614,0.6444,0.7299,0.7715
5,Warmup,5,0.5323,0.5449,0.7056,0.7208,0.6889,0.719,0.7755
5,Joint,1,0.5124,0.5396,0.7029,0.7107,0.6944,0.7143,0.7807
5,Joint,2,0.5097,0.5383,0.7241,0.736,0.7111,0.736,0.7793
5,Joint,3,0.502,0.5355,0.7109,0.7157,0.7056,0.7212,0.7818
5,Joint,4,0.4905,0.5335,0.7135,0.7259,0.7,0.7259,0.7833
5,Joint,5,0.4829,0.5386,0.7162,0.7462,0.6833,0.7332,0.7788
5,Joint,6,0.4765,0.5334,0.7082,0.7513,0.6611,0.7291,0.7841
5,Joint,7,0.4683,0.532,0.7162,0.7716,0.6556,0.7397,0.7869
5,Joint,8,0.4627,0.5285,0.7056,0.7208,0.6889,0.719,0.7871
5,Joint,9,0.4406,0.5267,0.7188,0.7513,0.6833,0.7363,0.7905
5,Joint,10,0.4441,0.5302,0.7268,0.7766,0.6722,0.7482,0.7891
5,Joint,11,0.4258,0.5288,0.7162,0.7614,0.6667,0.7371,0.789
5,Joint,12,0.4362,0.5317,0.7003,0.7411,0.6556,0.721,0.7854
5,Joint,13,0.416,0.5323,0.7082,0.7817,0.6278,0.7368,0.7872
5,Joint,14,0.4054,0.5265,0.7056,0.7513,0.6556,0.7273,0.7918
5,Joint,15,0.4036,0.5335,0.7029,0.7513,0.65,0.7255,0.7863
5,Joint,16,0.4014,0.5354,0.7082,0.7766,0.6333,0.7356,0.7874
5,Joint,17,0.3868,0.5371,0.7109,0.7817,0.6333,0.7386,0.7856
5,Joint,18,0.3927,0.5371,0.7162,0.797,0.6278,0.7458,0.7876
5,Joint,19,0.3908,0.5331,0.7135,0.7665,0.6556,0.7366,0.7902
5,Joint,20,0.3702,0.5312,0.7135,0.7766,0.6444,0.7391,0.7921
5,Joint,21,0.3777,0.5428,0.7082,0.7513,0.6611,0.7291,0.7843
5,Joint,22,0.3509,0.5494,0.7056,0.7462,0.6611,0.7259,0.784
5,Joint,23,0.3622,0.5451,0.7162,0.7716,0.6556,0.7397,0.7872
5,Joint,24,0.3478,0.5514,0.7135,0.7665,0.6556,0.7366,0.783
5,Joint,25,0.3656,0.5533,0.7135,0.7665,0.6556,0.7366,0.7834
5,Joint,26,0.3405,0.559,0.7082,0.7716,0.6389,0.7343,0.7808
5,Joint,27,0.3387,0.5622,0.7162,0.802,0.6222,0.747,0.781
5,Joint,28,0.3221,0.5664,0.6976,0.7563,0.6333,0.7233,0.7773
5,Joint,29,0.329,0.5774,0.7003,0.7665,0.6278,0.7277,0.7744
5,Joint,30,0.3138,0.5749,0.695,0.7716,0.6111,0.7255,0.775
