Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
5,Joint,11,0.2698,1.0192,0.6041,0.5895,0.6176,0.5895,0.6337
5,Joint,12,0.2471,1.118,0.5787,0.5474,0.6078,0.5561,0.6353
5,Joint,13,0.2357,1.1199,0.5939,0.5789,0.6078,0.5789,0.6347
5,Joint,14,0.2061,1.1392,0.5635,0.4947,0.6275,0.5222,0.6116
5,Joint,15,0.191,1.2477,0.5533,0.5474,0.5588,0.5417,0.6006
5,Joint,16,0.1612,1.3158,0.5533,0.5158,0.5882,0.5269,0.5936
5,Joint,17,0.1658,1.4533,0.5838,0.7263,0.451,0.6273,0.6212
5,Joint,18,0.1289,1.3916,0.533,0.4526,0.6078,0.4831,0.5712
5,Joint,19,0.1416,1.4799,0.5482,0.6421,0.4608,0.5782,0.6088
5,Joint,20,0.1245,1.4054,0.5736,0.6316,0.5196,0.5882,0.622
5,Joint,21,0.1126,1.7037,0.5584,0.6842,0.4412,0.5991,0.6008
5,Joint,22,0.1075,1.743,0.5635,0.5789,0.549,0.5612,0.5868
5,Joint,23,0.1241,1.5507,0.5635,0.5684,0.5588,0.5567,0.6072
5,Joint,24,0.0729,1.5303,0.5888,0.5684,0.6078,0.5714,0.6139
5,Joint,25,0.0775,1.526,0.5736,0.5263,0.6176,0.5435,0.5951
5,Joint,26,0.089,1.7272,0.5838,0.6,0.5686,0.5816,0.5929
5,Joint,27,0.0643,1.7453,0.5584,0.5579,0.5588,0.5492,0.5908
5,Joint,28,0.0573,1.8374,0.5939,0.5789,0.6078,0.5789,0.6161
5,Joint,29,0.0587,1.7382,0.5888,0.5474,0.6275,0.5622,0.6251
5,Joint,30,0.0455,1.7556,0.5787,0.6211,0.5392,0.5871,0.6195
